Month,Hotel_Maintenance,Labor,Water_And_Electricity,Material_Procurement,Marketing_And_Publicity,Sum
1,50093.03,28391.12,19052.91,10379.15,32912.03,140828.24
2,51097.22,22346.41,12310.01,23623.2,29582.93,138959.77
3,51168.45,21505.39,10991.79,7866.43,36983.93,128515.99
4,51475.5,24254.29,21900.06,12345.1,22301.21,132276.16
5,52572.22,28694.72,18458.57,13046.12,22076.43,134848.06
6,51103.34,35965.98,10885.58,12289.83,27528.83,137773.56
7,50794.09,33434.73,12262.1,12476.41,31661.44,140628.77
8,51134.18,32809.13,12627.07,12850.8,12837.24,122258.42
9,51637.6,32411.34,12554.92,7544.49,14662.89,118811.24
10,50833.59,34668.22,8760.58,24161.81,17658.74,136082.94
11,51930.05,46335.24,9290.7,22476.41,16566.13,146598.53
12,51440.95,58172.25,10074.31,12262.17,22697.45,154647.13
