Month,Entertainment,Catering_Revenue,Meetings_And_Events,Room_Revenue,Other_Revenue,Sum
1,12600,46900,18670,73080,22290,173550
2,16630,42810,19940,69450,15005,163845
3,19335,31470,14685,60250,29000,154745
4,18820,33545,12590,60650,29180,154790
5,23045,26980,10130,64655,15920,140740
6,12170,24170,16400,78645,26705,158100
7,19925,26325,14320,88880,17060,166520
8,20265,35995,22060,61900,21770,162005
9,26320,26660,23740,49460,26155,152345
10,33200,34305,33585,52065,20930,174095
11,32715,24045,23740,46945,20050,147500
12,48455,48370,48585,50175,23485,219080
